Station1,Station2,Distance_km,Time_min
LAJPAT NAGAR,VINOBAPURI,1.532,5.466666666666667
VINOBAPURI,ASHRAM,1.082,2.45
ASHRAM,SARAI KALE KHAN - NIZAMUDDIN,2.127,3.15
SARAI KALE KHAN - NIZAMUDDIN,MAYUR VIHAR -I,4.544,8.066666666666666
MAYUR VIHAR -I,MAYUR VIHAR POCKET-1,0.974,5.35
MAYUR VIHAR POCKET-1,TRILOKPURI-SANJAY LAKE,1.546,3.1
TRILOKPURI-SANJAY LAKE,EAST VINOD NAGAR-MAYUR VIHAR -II,1.046,2.4
EAST VINOD NAGAR-MAYUR VIHAR -II,MANDAWALI - WEST VINOD NAGAR,0.897,2.283333333333333
MANDAWALI - WEST VINOD NAGAR,I.P. EXTENSION,1.391,2.8333333333333335
I.P. EXTENSION,ANAND VIHAR ISBT,2.263,7.033333333333333
ANAND VIHAR ISBT,KARKARDUMA,1.267,7.616666666666666
KARKARDUMA,KARKARDUMA COURT,1.473,5.4
KARKARDUMA COURT,KRISHNA NAGAR,0.841,2.1666666666666665
KRISHNA NAGAR,EAST AZAD NAGAR,0.938,2.0833333333333335
EAST AZAD NAGAR,WELCOME,1.433,5.116666666666666
WELCOME,JAFRABAD,1.967,5.7
JAFRABAD,MAUJPUR-BABARPUR,1.152,2.3666666666666667
MAUJPUR-BABARPUR,GOKULPURI,1.331,2.3666666666666667
GOKULPURI,JOHRI ENCLAVE,1.34,2.6
JOHRI ENCLAVE,SHIV VIHAR,1.151,4.983333333333333
KRISHNA PARK EXTENSION,JANAKPURI WEST,2.746,15.883333333333333
JANAKPURI WEST,DABRI MOR - JANAKPURI SOUTH,2.029,8.05
DABRI MOR - JANAKPURI SOUTH,DASHRATHPURI,1.568,2.533333333333333
DASHRATHPURI,PALAM,1.562,2.3833333333333333
PALAM,SADAR BAZAR CANTONMENT,3.172,4.2
SADAR BAZAR CANTONMENT,TERMINAL 1-IGI AIRPORT,2.192,6.016666666666667
TERMINAL 1-IGI AIRPORT,SHANKAR VIHAR,2.398,6.433333333333334
SHANKAR VIHAR,VASANT VIHAR,2.062,2.7333333333333334
VASANT VIHAR,MUNIRKA,2.378,16.066666666666666
MUNIRKA,R.K.PURAM,2.365,18.333333333333332
R.K.PURAM,IIT,1.038,4.316666666666666
IIT,HAUZ KHAS,1.325,4.4
HAUZ KHAS,PANCHSHEEL PARK,1.683,5.133333333333334
PANCHSHEEL PARK,CHIRAG DELHI,1.541,12.25
CHIRAG DELHI,GREATER KAILASH,1.555,11.916666666666666
GREATER KAILASH,NEHRU ENCLAVE,1.367,2.316666666666667
NEHRU ENCLAVE,KALKAJI MANDIR,1.012,6.816666666666666
KALKAJI MANDIR,OKHLA NSIC,1.468,10.15
OKHLA NSIC,SUKHDEV VIHAR,1.374,8.4
SUKHDEV VIHAR,JAMIA MILLIA ISLAMIA,1.413,8.516666666666667
JAMIA MILLIA ISLAMIA,OKHLA VIHAR,1.169,8.183333333333334
OKHLA VIHAR,JASOLA VIHAR SHAHEEN BAGH,1.965,5.533333333333333
JASOLA VIHAR SHAHEEN BAGH,KALINDI KUNJ,2.06,6.883333333333334
KALINDI KUNJ,OKHLA BIRD SANCTUARY,1.814,8.216666666666667
OKHLA BIRD SANCTUARY,BOTANICAL GARDEN,2.365,10.2
DWARKA,NANGLI,1.785,5.316666666666666
NANGLI,NAJAFGARH,2.478,5.416666666666667
NAJAFGARH,DHANSA BUS STAND,0.876,4.516666666666667
SECTOR 55-56,SECTOR-54 CHOWK,1.095,15.166666666666666
SECTOR-54 CHOWK,SECTOR-53-54,1.596,21.7
SECTOR-53-54,SECTOR-42-43,1.272,17.266666666666666
SECTOR-42-43,PHASE-1,1.574,21.216666666666665
PHASE-1,SIKANDERPUR,1.259,17.533333333333335
SIKANDERPUR,PHASE-2,0.973,13.7
PHASE-2,BELVEDERE TOWERS,1.366,18.966666666666665
BELVEDERE TOWERS,CYBER CITY,0.876,11.816666666666666
CYBER CITY,MOULSARI AVENUE,1.112,15.383333333333333
MOULSARI AVENUE,PHASE-3,1.002,13.75
